tid,toi,tfopwg_disp,st_tmag,pl_orbper,pl_trandep
129539786,1367.01,FP,9.24102,2.0881134,730.0
136971594,1368.01,FP,9.1384,1.25562,290.0
155005217,1369.01,FP,10.4216,7.6047417,1200.0
176957796,137.01,FA,10.702,4.8173797,1800.0
155114483,1370.01,FP,9.25068,5.2651271,3450.0
162130054,1371.01,APC,9.948,5.0095595,8700.0
164150539,1372.01,FP,10.3126,6.1600888,1120.0
176899385,1373.01,KP,9.995771,3.8529998,8913.0
190430205,1374.01,FP,9.8261,1.06884,470.0
190442486,1375.01,FP,10.4568,5.4561177,1360.0
190743990,1376.01,FP,10.2566,1.7380504,956.0
240613164,1377.01,FP,10.1441,1.99143,16745.8
249812036,1378.01,FP,9.624,5.7785318,4990.0
252490659,1379.01,APC,10.3842,1132.0244686,18121.2
277683130,138.01,APC,9.5739,6.1982658,3896.0
274170255,1380.01,FP,9.32845,1.41072,500.0
275722992,1381.01,PC,10.379,6.5601782,2474.0
276360911,1382.01,FA,9.62426,0.44482,1610.0
313506357,1383.01,FP,9.5621,1.532703,1250.0
328167090,1384.01,FP,10.0009,0.7131492,450.0
329864959,1385.01,FP,8.437,4.52318,25109.1
343019899,1386.01,CP,10.0618,25.8386422,1806.0
343442463,1387.01,FP,8.95861,0.78381,426.099
346338552,1388.01,KP,9.76031,4.4652986,14440.0
353038705,1389.01,PC,9.957501,3.062624,580.0
62483237,139.01,CP,9.3636,11.0708575,1149.7328034
365389353,1390.01,FP,10.3093,2.6380089,1683.0
389182138,1391.01,FP,10.4602,2.7260173,1165.0
416987878,1392.01,FP,10.399,2.86876,1030.0
430528566,1393.01,FP,10.1993,0.5590256,660.0
431156009,1394.01,FP,9.44275,2.958148,980.0
468472950,1395.01,FP,10.1277,0.98736,370.0
468845640,1396.01,FP,10.3217,3.99307,3892.81
64553698,1397.01,FP,10.1799,8.6795072,10160.0
66445643,1398.01,APC,8.6291,6.5560604,861.0
66783360,1399.01,FP,10.2107,1.3812787,1573.0
140068425,140.01,APC,9.7828,2.2813432,1126.6619488
258801269,1400.01,FP,10.938,5.48923,910.0
259126549,1401.01,FP,10.9828,7.3845072,25160.0
259129875,1402.01,FP,10.5896,0.43889,650.0
256783784,1432.01,PC,9.4653,6.1095756,510.0
13684720,1433.01,APC,12.4647,12.4379715,123693.2601599
