Por procesar: 2,011

[139/2011] TIC 67512645 ... ok | sec=72 | vf=0.799 | 0.70s
[140/2011] TIC 219015370 ... ok | sec=40 | vf=0.966 | 0.68s
[141/2011] TIC 220435095 ... ok | sec=27 | vf=0.934 | 0.63s
[142/2011] TIC 290131778 ... ok | sec=1 | vf=0.922 | 0.67s
[143/2011] TIC 73723286 ... ok | sec=63 | vf=0.973 | 0.70s
[144/2011] TIC 103245940 ... ok | sec=90 | vf=0.834 | 0.66s
[145/2011] TIC 1100766816 ... no_fits | sec=-1 | vf=0.000 | 0.57s
[146/2011] TIC 243153196 ... ok | sec=57 | vf=0.869 | 0.54s
[147/2011] TIC 209464063 ... ok | sec=31 | vf=0.907 | 0.65s
[148/2011] TIC 407966340 ... ok | sec=32 | vf=0.923 | 0.60s
[149/2011] TIC 407966340 ... ok | sec=32 | vf=0.923 | 0.59s
[150/2011] TIC 50309953 ... ok | sec=1 | vf=0.926 | 0.57s
[151/2011] TIC 305478010 ... ok | sec=83 | vf=0.965 | 0.60s
[152/2011] TIC 384888319 ... ok | sec=70 | vf=0.799 | 0.69s
[153/2011] TIC 369327947 ... ok | sec=27 | vf=0.918 | 0.65s
[154/2011] TIC 271439193 ... ok | sec=58 | vf=0.977 | 0.63s
[155/2011] TIC 315755496 ... ok | sec=40 | vf=0.966 | 0.65s
[156/2011] TIC 286916251 ... ok | sec=22 | vf=0.866 | 0.68s
[157/2011] TIC 349972412 ... ok | sec=27 | vf=0.772 | 0.63s
[158/2011] TIC 349972412 ... ok | sec=27 | vf=0.772 | 0.66s
[159/2011] TIC 118021229 ... ok | sec=34 | vf=0.927 | 0.63s
[160/2011] TIC 178819686 ... ok | sec=64 | vf=0.899 | 0.73s
[161/2011] TIC 178819686 ... ok | sec=64 | vf=0.899 | 0.72s
[162/2011] TIC 69356857 ... ok | sec=81 | vf=0.962 | 0.73s
[163/2011] TIC 8260536 ... ok | sec=48 | vf=0.771 | 0.61s
[164/2011] TIC 8260536 ... ok | sec=48 | vf=0.771 | 0.64s
[165/2011] TIC 454248975 ... ok | sec=64 | vf=0.976 | 0.62s
[166/2011] TIC 19342878 ... ok | sec=61 | vf=0.855 | 0.64s
[167/2011] TIC 258920431 ... ok | sec=40 | vf=0.966 | 0.73s
[168/2011] TIC 281408474 ... ok | sec=87 | vf=0.795 | 0.60s
[169/2011] TIC 81429971 ... ok | sec=34 | vf=0.933 | 0.69s
[170/2011] TIC 276380902 ... ok | sec=55 | vf=0.965 | 0.68s
[171/2011] TIC 185226925 ... ok | sec=56 | vf=0.977 | 0.63s
[172/2011] TIC 147950620 ... ok | sec=14 | vf=0.963 | 0.67s
[173/2011] TIC 202426247 ... ok | sec=14 | vf=0.923 | 0.60s
[174/2011] TIC 158002130 ... ok | sec=14 | vf=0.963 | 0.69s
[175/2011] TIC 308034948 ... ok | sec=37 | vf=0.877 | 0.68s
[176/2011] TIC 81247740 ... ok | sec=50 | vf=0.558 | 0.59s
[177/2011] TIC 252537013 ... ok | sec=84 | vf=0.779 | 0.62s
[178/2011] TIC 425721385 ... ok | sec=27 | vf=0.733 | 0.59s
[179/2011] TIC 393818343 ... ok | sec=55 | vf=0.685 | 0.57s
[180/2011] TIC 28873762 ... ok | sec=44 | vf=0.898 | 0.69s
[181/2011] TIC 307210830 ... ok | sec=5 | vf=0.905 | 0.62s
[182/2011] TIC 307210830 ... ok | sec=5 | vf=0.905 | 0.66s
[183/2011] TIC 307210830 ... ok | sec=5 | vf=0.905 | 0.66s
[184/2011] TIC 81212286 ... ok | sec=20 | vf=0.940 | 0.83s
[185/2011] TIC 284747017 ... ok | sec=44 | vf=0.931 | 1.27s
[186/2011] TIC 261257684 ... ok | sec=27 | vf=0.851 | 1.24s
[187/2011] TIC 261257684 ... ok | sec=27 | vf=0.851 | 0.73s
[188/2011] TIC 424196109 ... ok | sec=65 | vf=0.977 | 0.75s
[189/2011] TIC 151724385 ... ok | sec=92 | vf=0.805 | 0.77s
[190/2011] TIC 63898957 ... ok | sec=30 | vf=0.814 | 0.74s
[191/2011] TIC 63898957 ... ok | sec=30 | vf=0.814 | 0.64s
[192/2011] TIC 146520535 ... ok | sec=32 | vf=0.934 | 0.68s
[193/2011] TIC 150151262 ... ok | sec=6 | vf=0.941 | 0.69s
[194/2011] TIC 150151262 ... ok | sec=6 | vf=0.941 | 0.58s
[195/2011] TIC 150151262 ... ok | sec=6 | vf=0.941 | 0.67s
[196/2011] TIC 30329585 ... ok | sec=40 | vf=0.966 | 0.65s
[197/2011] TIC 153065527 ... ok | sec=30 | vf=0.859 | 0.70s
[198/2011] TIC 153065527 ... ok | sec=30 | vf=0.859 | 0.62s
[199/2011] TIC 207110080 ... ok | sec=30 | vf=0.851 | 0.70s
[200/2011] TIC 163539739 ... ok | sec=56 | vf=0.977 | 0.66s
[201/2011] TIC 394137592 ... ok | sec=1 | vf=0.926 | 0.71s
[202/2011] TIC 380517859 ... ok | sec=82 | vf=0.975 | 0.72s
[203/2011] TIC 131979339 ... ok | sec=34 | vf=0.933 | 0.65s
[204/2011] TIC 97921547 ... ok | sec=88 | vf=0.977 | 0.73s
[205/2011] TIC 155044736 ... ok | sec=34 | vf=0.928 | 1.11s
[206/2011] TIC 193641523 ... ok | sec=38 | vf=0.963 | 0.91s
[207/2011] TIC 230127302 ... ok | sec=14 | vf=0.923 | 0.66s
[208/2011] TIC 230127302 ... ok | sec=14 | vf=0.923 | 0.75s
[209/2011] TIC 230127302 ... ok | sec=14 | vf=0.923 | 0.72s
[210/2011] TIC 230127302 ... ok | sec=14 | vf=0.923 | 0.70s
[211/2011] TIC 47484268 ... ok | sec=2 | vf=0.921 | 0.67s
[212/2011] TIC 238162973 ... ok | sec=62 | vf=0.878 | 1.29s
[213/2011] TIC 341544930 ... ok | sec=41 | vf=0.957 | 1.82s
[214/2011] TIC 298049015 ... ok | sec=74 | vf=0.713 | 1.94s
[215/2011] TIC 184679932 ... ok | sec=58 | vf=0.951 | 1.79s
[216/2011] TIC 174328045 ... ok | sec=84 | vf=0.799 | 1.60s
[217/2011] TIC 23434737 ... ok | sec=9 | vf=0.885 | 1.79s
[218/2011] TIC 302659412 ... ok | sec=38 | vf=0.963 | 1.69s
[219/2011] TIC 344085117 ... ok | sec=62 | vf=0.887 | 1.66s
[220/2011] TIC 9727392 ... ok | sec=2 | vf=0.943 | 1.76s
[221/2011] TIC 238197709 ... ok | sec=13 | vf=0.853 | 1.70s
[222/2011] TIC 306648160 ... ok | sec=100 | vf=0.856 | 1.69s
[223/2011] TIC 686072378 ... ok | sec=32 | vf=0.939 | 1.78s
[224/2011] TIC 349373192 ... ok | sec=13 | vf=0.853 | 1.68s
[225/2011] TIC 95057860 ... ok | sec=87 | vf=0.777 | 1.70s
[226/2011] TIC 42123111 ... ok | sec=55 | vf=0.965 | 1.68s
[227/2011] TIC 53498154 ... ok | sec=22 | vf=0.795 | 1.89s
[228/2011] TIC 53498154 ... ok | sec=22 | vf=0.795 | 1.94s
[229/2011] TIC 53498154 ... ok | sec=22 | vf=0.795 | 1.86s
[230/2011] TIC 53498154 ... ok | sec=22 | vf=0.795 | 1.80s
[231/2011] TIC 466206508 ... ok | sec=27 | vf=0.898 | 1.74s
[232/2011] TIC 412961700 ... ok | sec=88 | vf=0.977 | 1.78s
[233/2011] TIC 441462736 ... ok | sec=2 | vf=0.943 | 1.77s
[234/2011] TIC 141776043 ... ok | sec=34 | vf=0.928 | 1.79s
[235/2011] TIC 15692883 ... ok | sec=57 | vf=0.869 | 1.77s
[236/2011] TIC 169187982 ... ok | sec=55 | vf=0.965 | 1.99s
[237/2011] TIC 102840239 ... ok | sec=63 | vf=0.973 | 2.03s
[238/2011] TIC 102840239 ... ok | sec=63 | vf=0.973 | 1.98s
[239/2011] TIC 357972447 ... ok | sec=55 | vf=0.965 | 1.82s
[240/2011] TIC 420112587 ... ok | sec=14 | vf=0.963 | 1.89s
[241/2011] TIC 212957629 ... ok | sec=30 | vf=0.815 | 1.94s
[242/2011] TIC 341805908 ... ok | sec=65 | vf=0.977 | 1.89s
[243/2011] TIC 96246348 ... ok | sec=33 | vf=0.938 | 2.05s
[244/2011] TIC 355867695 ... ok | sec=14 | vf=0.963 | 1.98s
[245/2011] TIC 355867695 ... ok | sec=14 | vf=0.963 | 2.01s
[246/2011] TIC 355867695 ... ok | sec=14 | vf=0.963 | 1.95s
[247/2011] TIC 318209162 ... ok | sec=21 | vf=0.957 | 1.96s
[248/2011] TIC 119584412 ... ok | sec=22 | vf=0.829 | 1.31s
[249/2011] TIC 55525572 ... ok | sec=6 | vf=0.933 | 0.75s
[250/2011] TIC 457743020 ... ok | sec=64 | vf=0.976 | 0.62s
[251/2011] TIC 255918903 ... ok | sec=66 | vf=0.657 | 0.59s
[252/2011] TIC 396562848 ... ok | sec=25 | vf=0.949 | 0.70s
[253/2011] TIC 170729775 ... ok | sec=5 | vf=0.917 | 0.84s
[254/2011] TIC 18017227 ... ok | sec=48 | vf=0.761 | 0.70s
[255/2011] TIC 296739893 ... ok | sec=62 | vf=0.875 | 0.68s
[256/2011] TIC 131581522 ... ok | sec=61 | vf=0.871 | 1.05s
[257/2011] TIC 22221375 ... ok | sec=9 | vf=0.881 | 0.65s
[258/2011] TIC 42015200 ... ok | sec=30 | vf=0.839 | 0.76s
[259/2011] TIC 397362481 ... ok | sec=64 | vf=0.976 | 0.60s
[260/2011] TIC 397362481 ... ok | sec=64 | vf=0.976 | 0.61s
[261/2011] TIC 134200185 ... ok | sec=6 | vf=0.945 | 0.69s
[262/2011] TIC 142277868 ... ok | sec=90 | vf=0.908 | 0.67s
[263/2011] TIC 270604417 ... ok | sec=34 | vf=0.927 | 0.59s
[264/2011] TIC 149126400 ... ok | sec=27 | vf=0.955 | 0.79s
[265/2011] TIC 309787037 ... ok | sec=37 | vf=0.887 | 0.71s
[266/2011] TIC 14336130 ... ok | sec=20 | vf=0.940 | 0.67s
[267/2011] TIC 236775063 ... ok | sec=48 | vf=0.777 | 0.81s
[268/2011] TIC 383531859 ... ok | sec=38 | vf=0.963 | 1.10s
[269/2011] TIC 142394656 ... ok | sec=21 | vf=0.958 | 1.98s
[270/2011] TIC 23113034 ... ok | sec=70 | vf=0.833 | 1.67s
[271/2011] TIC 452866790 ... ok | sec=7 | vf=0.929 | 1.82s
[272/2011] TIC 331034236 ... ok | sec=56 | vf=0.977 | 1.76s
[273/2011] TIC 134315574 ... ok | sec=61 | vf=0.857 | 1.75s
[274/2011] TIC 258557847 ... ok | sec=80 | vf=0.629 | 1.83s
[275/2011] TIC 117068362 ... ok | sec=82 | vf=0.959 | 1.81s
[276/2011] TIC 95122849 ... ok | sec=72 | vf=0.805 | 1.93s
[277/2011] TIC 199444169 ... ok | sec=83 | vf=0.965 | 1.72s
[278/2011] TIC 269238073 ... ok | sec=58 | vf=0.977 | 1.75s
[279/2011] TIC 79748331 ... ok | sec=13 | vf=0.820 | 1.71s
[280/2011] TIC 79748331 ... ok | sec=13 | vf=0.820 | 1.87s
[281/2011] TIC 154089169 ... ok | sec=14 | vf=0.963 | 1.84s
[282/2011] TIC 196286587 ... ok | sec=34 | vf=0.925 | 1.80s
[283/2011] TIC 137543637 ... ok | sec=74 | vf=0.629 | 1.91s
[284/2011] TIC 266980320 ... ok | sec=1 | vf=0.926 | 1.93s
[285/2011] TIC 364107753 ... ok | sec=39 | vf=0.963 | 1.81s
[286/2011] TIC 367099243 ... ok | sec=52 | vf=0.891 | 1.79s
[287/2011] TIC 360156606 ... ok | sec=38 | vf=0.963 | 1.84s
[288/2011] TIC 368287008 ... ok | sec=24 | vf=0.850 | 1.87s
[289/2011] TIC 13023738 ... ok | sec=29 | vf=0.782 | 1.84s
[290/2011] TIC 256621916 ... ok | sec=41 | vf=0.957 | 1.99s
[291/2011] TIC 44745077 ... ok | sec=5 | vf=0.907 | 1.79s
[292/2011] TIC 419523962 ... ok | sec=78 | vf=0.975 | 2.00s
[293/2011] TIC 178709444 ... ok | sec=36 | vf=0.861 | 1.76s
[294/2011] TIC 455784423 ... ok | sec=84 | vf=0.902 | 1.89s
[295/2011] TIC 150428135 ... ok | sec=1 | vf=0.926 | 1.81s
[296/2011] TIC 150428135 ... ok | sec=1 | vf=0.926 | 1.88s
[297/2011] TIC 150428135 ... ok | sec=1 | vf=0.926 | 1.72s
[298/2011] TIC 150428135 ... ok | sec=1 | vf=0.926 | 1.89s
[299/2011] TIC 159418353 ... ok | sec=14 | vf=0.963 | 1.83s
[300/2011] TIC 95660472 ... ok | sec=44 | vf=0.874 | 1.92s
[301/2011] TIC 1979500576 ... no_fits | sec=-1 | vf=0.000 | 1.69s
[302/2011] TIC 239722954 ... ok | sec=59 | vf=0.880 | 1.66s
[303/2011] TIC 154867950 ... ok | sec=40 | vf=0.966 | 1.91s
[304/2011] TIC 399967279 ... ok | sec=44 | vf=0.897 | 1.57s
[305/2011] TIC 120602501 ... ok | sec=56 | vf=0.971 | 1.58s
[306/2011] TIC 267489265 ... ok | sec=54 | vf=0.949 | 1.58s
[307/2011] TIC 49710555 ... ok | sec=29 | vf=0.787 | 1.51s
[308/2011] TIC 322202434 ... ok | sec=18 | vf=0.866 | 1.59s
[309/2011] TIC 403693875 ... ok | sec=33 | vf=0.938 | 1.65s
[310/2011] TIC 389999924 ... ok | sec=64 | vf=0.976 | 1.57s
[311/2011] TIC 453464017 ... ok | sec=38 | vf=0.963 | 1.66s
[312/2011] TIC 142087638 ... ok | sec=7 | vf=0.917 | 1.62s
[313/2011] TIC 142087638 ... ok | sec=7 | vf=0.917 | 1.70s
[314/2011] TIC 373576942 ... ok | sec=75 | vf=0.977 | 1.77s
[315/2011] TIC 242083025 ... ok | sec=64 | vf=0.895 | 1.63s
[316/2011] TIC 458419328 ... ok | sec=47 | vf=0.842 | 1.68s
[317/2011] TIC 318608749 ... ok | sec=39 | vf=0.963 | 1.48s
[318/2011] TIC 239541449 ... ok | sec=56 | vf=0.977 | 0.60s
[319/2011] TIC 307734817 ... ok | sec=22 | vf=0.820 | 0.60s
[320/2011] TIC 279989567 ... ok | sec=87 | vf=0.691 | 0.53s
[321/2011] TIC 464646604 ... ok | sec=27 | vf=0.955 | 0.61s
[322/2011] TIC 32283946 ... ok | sec=30 | vf=0.844 | 0.61s
[323/2011] TIC 310267134 ... ok | sec=93 | vf=0.816 | 0.57s
[324/2011] TIC 99869022 ... ok | sec=41 | vf=0.930 | 0.69s
[325/2011] TIC 408618999 ... ok | sec=25 | vf=0.949 | 0.64s
[326/2011] TIC 253990973 ... ok | sec=13 | vf=0.853 | 0.56s
[327/2011] TIC 279251651 ... ok | sec=2 | vf=0.901 | 0.69s
[328/2011] TIC 384744828 ... ok | sec=39 | vf=0.963 | 0.60s
[329/2011] TIC 89876424 ... ok | sec=74 | vf=0.977 | 0.62s
[330/2011] TIC 101011575 ... ok | sec=34 | vf=0.928 | 0.64s
[331/2011] TIC 101011575 ... ok | sec=34 | vf=0.928 | 0.59s
[332/2011] TIC 51637609 ... ok | sec=83 | vf=0.965 | 0.62s
[333/2011] TIC 142748283 ... ok | sec=14 | vf=0.963 | 0.58s
[334/2011] TIC 142748283 ... ok | sec=14 | vf=0.963 | 0.58s
[335/2011] TIC 399144800 ... ok | sec=37 | vf=0.918 | 0.59s
[336/2011] TIC 87216634 ... ok | sec=81 | vf=0.878 | 0.61s
[337/2011] TIC 287139872 ... ok | sec=14 | vf=0.955 | 0.63s
[338/2011] TIC 287139872 ... ok | sec=14 | vf=0.955 | 0.55s
[339/2011] TIC 71431780 ... ok | sec=26 | vf=0.962 | 0.60s
[340/2011] TIC 130181866 ... ok | sec=20 | vf=0.882 | 0.60s
[341/2011] TIC 130181866 ... ok | sec=20 | vf=0.882 | 0.59s
[342/2011] TIC 234523599 ... ok | sec=2 | vf=0.943 | 0.68s
[343/2011] TIC 141616639 ... ok | sec=53 | vf=0.962 | 0.63s
[344/2011] TIC 408549705 ... ok | sec=59 | vf=0.844 | 0.63s
[345/2011] TIC 408636441 ... ok | sec=24 | vf=0.965 | 0.64s
[346/2011] TIC 120916706 ... ok | sec=30 | vf=0.829 | 0.64s
[347/2011] TIC 329864959 ... ok | sec=56 | vf=0.977 | 0.71s
[348/2011] TIC 239372503 ... ok | sec=75 | vf=0.977 | 0.62s
[349/2011] TIC 326470400 ... ok | sec=11 | vf=0.602 | 0.61s
[350/2011] TIC 329709756 ... ok | sec=75 | vf=0.977 | 0.68s
[351/2011] TIC 425997655 ... ok | sec=2 | vf=0.943 | 0.59s
[352/2011] TIC 425997655 ... ok | sec=2 | vf=0.943 | 0.60s
[353/2011] TIC 425997655 ... ok | sec=2 | vf=0.943 | 0.63s
[354/2011] TIC 425997655 ... ok | sec=2 | vf=0.943 | 0.58s
[355/2011] TIC 425997655 ... ok | sec=2 | vf=0.943 | 0.70s
[356/2011] TIC 379929661 ... ok | sec=34 | vf=0.926 | 0.63s
[357/2011] TIC 219698776 ... ok | sec=14 | vf=0.963 | 0.69s
