Total seleccionados:    1,968
En estado terminal:     5
Por descargar/reintentar: 1,963 (modo: reintenta error/download_failed)

[1/1963] TIC 427348923 (label=0) ... WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
error | 0/2 sec | 0.0 MB | 1.6 s
[531/1963] TIC 274762761 (label=0) ... ok | 3/7 sec | 5.8 MB | 6.1 s
[532/1963] TIC 138361973 (label=0) ... ok | 3/3 sec | 6.0 MB | 6.7 s
[533/1963] TIC 470315428 (label=0) ... ok | 1/1 sec | 1.9 MB | 4.2 s
[534/1963] TIC 219860288 (label=1) ... ok | 3/39 sec | 5.5 MB | 6.8 s
[535/1963] TIC 183979262 (label=0) ... ok | 3/6 sec | 5.8 MB | 6.0 s
[536/1963] TIC 152714791 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.3 s
[537/1963] TIC 288391628 (label=0) ... ok | 3/5 sec | 6.0 MB | 5.4 s
[538/1963] TIC 305550963 (label=0) ... ok | 3/7 sec | 6.2 MB | 5.9 s
[539/1963] TIC 376740324 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.8 s
[540/1963] TIC 149601126 (label=1) ... ok | 3/27 sec | 5.6 MB | 5.9 s
[541/1963] TIC 22020459 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.3 s
[542/1963] TIC 373453507 (label=0) ... no_data | 0/0 sec | 0.0 MB | 8.2 s
[543/1963] TIC 419946164 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.1 s
[544/1963] TIC 355867695 (label=1) ... ok | 3/7 sec | 5.9 MB | 0.4 s
[545/1963] TIC 427654774 (label=0) ... ok | 3/7 sec | 5.4 MB | 6.1 s
[546/1963] TIC 132320310 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.8 s
[547/1963] TIC 416987878 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.9 s
[548/1963] TIC 140706664 (label=0) ... ok | 1/1 sec | 1.8 MB | 6.3 s
[549/1963] TIC 207468071 (label=0) ... ok | 3/13 sec | 5.9 MB | 6.1 s
[550/1963] TIC 187532854 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.2 s
[551/1963] TIC 1001477809 (label=0) ... ok | 3/4 sec | 0.0 MB | 8.7 s
[552/1963] TIC 199688472 (label=0) ... ok | 3/42 sec | 5.7 MB | 6.6 s
[553/1963] TIC 218795833 (label=1) ... ok | 3/4 sec | 5.5 MB | 5.9 s
[554/1963] TIC 219189765 (label=1) ... ok | 3/5 sec | 5.6 MB | 5.7 s
[555/1963] TIC 83053699 (label=0) ... ok | 3/4 sec | 6.2 MB | 5.9 s
[556/1963] TIC 287156968 (label=1) ... ok | 3/11 sec | 6.1 MB | 5.9 s
[557/1963] TIC 113921235 (label=1) ... ok | 3/5 sec | 5.5 MB | 5.4 s
[558/1963] TIC 167418898 (label=0) ... Warning: 30% (5880/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/29 sec | 6.0 MB | 5.8 s
[559/1963] TIC 277987172 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.2 s
[560/1963] TIC 82362447 (label=0) ... ok | 3/4 sec | 5.5 MB | 5.6 s
[561/1963] TIC 58542531 (label=1) ... ok | 3/5 sec | 5.4 MB | 8.2 s
[562/1963] TIC 394357918 (label=1) ... ok | 3/9 sec | 5.9 MB | 5.4 s
[563/1963] TIC 361711730 (label=1) ... ok | 3/4 sec | 6.0 MB | 5.4 s
[564/1963] TIC 358070912 (label=1) ... ok | 3/11 sec | 6.1 MB | 5.7 s
[565/1963] TIC 201154493 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.0 s
[566/1963] TIC 193634953 (label=1) ... ok | 3/4 sec | 5.2 MB | 5.8 s
[567/1963] TIC 37770169 (label=1) ... ok | 3/3 sec | 5.5 MB | 5.4 s
[568/1963] TIC 153197346 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.3 s
[569/1963] TIC 461387302 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.8 s
[570/1963] TIC 249812036 (label=0) ... ok | 3/6 sec | 6.1 MB | 6.1 s
[571/1963] TIC 233735068 (label=0) ... ok | 3/41 sec | 5.7 MB | 6.6 s
[572/1963] TIC 206466531 (label=0) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/4 sec | 5.9 MB | 8.9 s
[573/1963] TIC 150098860 (label=1) ... ok | 3/38 sec | 5.9 MB | 5.9 s
[574/1963] TIC 147340931 (label=0) ... ok | 1/1 sec | 1.8 MB | 2.8 s
[575/1963] TIC 300810086 (label=0) ... ok | 3/23 sec | 6.0 MB | 6.5 s
[576/1963] TIC 404505029 (label=1) ... Warning: 22% (3972/18126) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 2/2 sec | 3.9 MB | 4.6 s
[577/1963] TIC 314724818 (label=0) ... ok | 2/2 sec | 4.0 MB | 3.8 s
[578/1963] TIC 307210830 (label=1) ... ok | 3/27 sec | 5.7 MB | 0.4 s
[579/1963] TIC 236387002 (label=1) ... Warning: 33% (5560/16999) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/5 sec | 5.6 MB | 5.5 s
[580/1963] TIC 76505260 (label=0) ... no_data | 0/0 sec | 0.0 MB | 1.9 s
[581/1963] TIC 374177909 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.8 s
[582/1963] TIC 279982557 (label=0) ... ok | 3/23 sec | 5.5 MB | 5.8 s
[583/1963] TIC 369861731 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.6 s
[584/1963] TIC 380886535 (label=0) ... ok | 3/4 sec | 5.7 MB | 8.1 s
[585/1963] TIC 371188886 (label=1) ... ok | 3/7 sec | 5.6 MB | 6.6 s
[586/1963] TIC 260298958 (label=0) ... ok | 3/25 sec | 5.5 MB | 6.0 s
[587/1963] TIC 310002617 (label=1) ... ok | 3/12 sec | 6.0 MB | 6.9 s
[588/1963] TIC 197959526 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.4 s
[589/1963] TIC 431585347 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.3 s
[590/1963] TIC 155491828 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.2 s
[591/1963] TIC 366563452 (label=0) ... ok | 3/20 sec | 5.5 MB | 7.6 s
[592/1963] TIC 262530407 (label=1) ... Warning: 30% (5882/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/5 sec | 5.9 MB | 5.9 s
[593/1963] TIC 260647166 (label=1) ... ok | 3/6 sec | 5.8 MB | 6.7 s
[594/1963] TIC 279741379 (label=1) ... Warning: 30% (5875/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/15 sec | 6.0 MB | 5.9 s
[595/1963] TIC 444523623 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.6 s
[596/1963] TIC 250484865 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.1 s
[597/1963] TIC 137500798 (label=0) ... ok | 3/7 sec | 5.9 MB | 5.7 s
[598/1963] TIC 345333936 (label=0) ... ok | 2/2 sec | 3.4 MB | 3.8 s
[599/1963] TIC 74482749 (label=0) ... ok | 2/2 sec | 3.7 MB | 5.0 s
[600/1963] TIC 431999925 (label=0) ... ok | 2/2 sec | 3.6 MB | 4.2 s
[601/1963] TIC 97700520 (label=0) ... ok | 2/2 sec | 3.8 MB | 3.8 s
[602/1963] TIC 312899686 (label=0) ... ok | 2/2 sec | 3.9 MB | 4.3 s
[603/1963] TIC 62530991 (label=0) ... ok | 2/2 sec | 3.7 MB | 4.9 s
[604/1963] TIC 146434840 (label=0) ... no_data | 0/0 sec | 0.0 MB | 6.3 s
[605/1963] TIC 439867639 (label=1) ... ok | 2/2 sec | 3.8 MB | 9.6 s
[606/1963] TIC 420446142 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.4 s
[607/1963] TIC 54085154 (label=0) ... ok | 2/2 sec | 3.7 MB | 6.4 s
[608/1963] TIC 323687123 (label=1) ... ok | 3/4 sec | 5.6 MB | 8.6 s
[609/1963] TIC 393251073 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.3 s
[610/1963] TIC 17865622 (label=1) ... ok | 3/3 sec | 5.8 MB | 6.0 s
[611/1963] TIC 370745311 (label=0) ... ok | 3/3 sec | 5.6 MB | 7.1 s
[612/1963] TIC 437740083 (label=0) ... ok | 1/1 sec | 1.9 MB | 4.6 s
[613/1963] TIC 368739874 (label=1) ... Warning: 37% (6343/16999) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 1/1 sec | 1.8 MB | 4.2 s
[614/1963] TIC 98494121 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.6 s
[615/1963] TIC 140691463 (label=1) ... ok | 3/35 sec | 5.9 MB | 6.3 s
[616/1963] TIC 219854519 (label=1) ... ok | 3/28 sec | 6.0 MB | 7.7 s
[617/1963] TIC 273069412 (label=0) ... no_data | 0/0 sec | 0.0 MB | 6.7 s
[618/1963] TIC 425220920 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.4 s
[619/1963] TIC 289661991 (label=1) ... ok | 3/3 sec | 5.8 MB | 6.0 s
[620/1963] TIC 207141131 (label=1) ... Warning: 30% (5881/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/6 sec | 5.9 MB | 7.8 s
[621/1963] TIC 240148934 (label=0) ... ok | 3/3 sec | 5.4 MB | 7.4 s
[622/1963] TIC 394561119 (label=1) ... ok | 3/5 sec | 6.0 MB | 6.5 s
[623/1963] TIC 31374837 (label=1) ... ok | 3/4 sec | 5.4 MB | 5.7 s
[624/1963] TIC 295807723 (label=0) ... ok | 3/4 sec | 5.9 MB | 7.3 s
[625/1963] TIC 319282294 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.1 s
[626/1963] TIC 142276270 (label=1) ... ok | 3/7 sec | 5.9 MB | 9.0 s
[627/1963] TIC 141488193 (label=1) ... ok | 3/6 sec | 5.9 MB | 8.8 s
[628/1963] TIC 23863106 (label=0) ... no_data | 0/0 sec | 0.0 MB | 1.8 s
[629/1963] TIC 341729521 (label=0) ... ok | 3/4 sec | 5.5 MB | 8.5 s
[630/1963] TIC 253132689 (label=0) ... ok | 2/2 sec | 3.8 MB | 5.1 s
[631/1963] TIC 102734241 (label=1) ... ok | 3/8 sec | 5.8 MB | 6.5 s
[632/1963] TIC 257605131 (label=1) ... ok | 3/3 sec | 5.7 MB | 7.0 s
[633/1963] TIC 400476523 (label=0) ... ok | 3/16 sec | 6.0 MB | 8.0 s
[634/1963] TIC 24364065 (label=0) ... ok | 3/3 sec | 6.0 MB | 5.5 s
[635/1963] TIC 389900760 (label=1) ... ok | 3/8 sec | 5.6 MB | 7.2 s
[636/1963] TIC 89702406 (label=0) ... ok | 3/6 sec | 5.5 MB | 7.0 s
[637/1963] TIC 4070275 (label=1) ... ok | 3/3 sec | 8.0 MB | 6.5 s
[638/1963] TIC 305512837 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.6 s
[639/1963] TIC 400323948 (label=0) ... ok | 2/2 sec | 3.8 MB | 4.7 s
[640/1963] TIC 379931600 (label=0) ... ok | 3/4 sec | 5.9 MB | 6.3 s
[641/1963] TIC 407966340 (label=1) ... ok | 3/6 sec | 5.6 MB | 0.4 s
[642/1963] TIC 124709665 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.5 s
[643/1963] TIC 136971594 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.1 s
[644/1963] TIC 349786918 (label=0) ... ok | 3/10 sec | 5.4 MB | 7.9 s
[645/1963] TIC 76923707 (label=1) ... ok | 3/4 sec | 5.8 MB | 6.5 s
[646/1963] TIC 230055368 (label=1) ... ok | 2/2 sec | 4.0 MB | 4.6 s
[647/1963] TIC 470974162 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.5 s
[648/1963] TIC 319068154 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.8 s
[649/1963] TIC 313891529 (label=0) ... ok | 2/2 sec | 3.8 MB | 5.6 s
[650/1963] TIC 170103435 (label=0) ... ok | 1/1 sec | 1.8 MB | 2.9 s
[651/1963] TIC 469184909 (label=0) ... ok | 3/3 sec | 6.0 MB | 7.5 s
[652/1963] TIC 394722182 (label=1) ... ok | 3/4 sec | 6.0 MB | 7.3 s
[653/1963] TIC 194179013 (label=0) ... ok | 3/3 sec | 5.9 MB | 7.0 s
[654/1963] TIC 257052211 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.9 s
[655/1963] TIC 350995812 (label=0) ... ok | 3/6 sec | 5.9 MB | 7.3 s
[656/1963] TIC 341297143 (label=0) ... ok | 2/2 sec | 3.8 MB | 5.3 s
[657/1963] TIC 384045439 (label=0) ... ok | 2/2 sec | 3.9 MB | 8.8 s
[658/1963] TIC 89535068 (label=0) ... ok | 3/3 sec | 5.5 MB | 5.5 s
[659/1963] TIC 259126549 (label=0) ... ok | 3/33 sec | 5.8 MB | 6.5 s
[660/1963] TIC 188593930 (label=0) ... ok | 2/2 sec | 3.8 MB | 6.0 s
[661/1963] TIC 311121985 (label=0) ... ok | 3/3 sec | 5.7 MB | 6.1 s
[662/1963] TIC 232568235 (label=1) ... ok | 3/6 sec | 5.8 MB | 7.3 s
[663/1963] TIC 219852882 (label=1) ... ok | 3/41 sec | 5.7 MB | 6.5 s
[664/1963] TIC 48188920 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.1 s
[665/1963] TIC 460140752 (label=0) ... ok | 2/2 sec | 3.7 MB | 5.8 s
[666/1963] TIC 285524410 (label=0) ... ok | 3/4 sec | 5.8 MB | 7.4 s
[667/1963] TIC 26054627 (label=1) ... ok | 2/2 sec | 3.8 MB | 4.1 s
[668/1963] TIC 329148988 (label=1) ... ok | 3/9 sec | 5.6 MB | 5.9 s
[669/1963] TIC 446549906 (label=1) ... ok | 3/3 sec | 5.8 MB | 7.5 s
[670/1963] TIC 126772538 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.4 s
[671/1963] TIC 427352241 (label=0) ... ok | 1/1 sec | 1.6 MB | 5.4 s
[672/1963] TIC 17005768 (label=0) ... ok | 3/3 sec | 5.8 MB | 6.5 s
[673/1963] TIC 353586703 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.9 s
[674/1963] TIC 160162987 (label=0) ... ok | 3/8 sec | 6.0 MB | 6.4 s
[675/1963] TIC 169765334 (label=1) ... ok | 3/5 sec | 5.7 MB | 6.2 s
[676/1963] TIC 55652896 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/43 sec | 6.0 MB | 0.4 s
[677/1963] TIC 29960110 (label=1) ... ok | 2/2 sec | 3.8 MB | 4.3 s
[678/1963] TIC 239977528 (label=1) ... ok | 3/4 sec | 5.6 MB | 6.8 s
[679/1963] TIC 470381900 (label=1) ... ok | 2/2 sec | 3.8 MB | 6.0 s
[680/1963] TIC 292797572 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.8 s
[681/1963] TIC 47617038 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.8 s
[682/1963] TIC 190430205 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.9 s
[683/1963] TIC 151920165 (label=1) ... ok | 3/4 sec | 5.9 MB | 9.3 s
[684/1963] TIC 424699834 (label=0) ... ok | 3/12 sec | 6.2 MB | 7.8 s
[685/1963] TIC 7439481 (label=0) ... ok | 2/2 sec | 3.9 MB | 5.7 s
[686/1963] TIC 118327550 (label=1) ... ok | 3/4 sec | 5.8 MB | 7.8 s
[687/1963] TIC 313675203 (label=0) ... ok | 3/5 sec | 6.0 MB | 7.7 s
[688/1963] TIC 76420654 (label=1) ... ok | 2/2 sec | 3.9 MB | 6.0 s
[689/1963] TIC 370133522 (label=1) ... ok | 3/5 sec | 5.9 MB | 7.5 s
[690/1963] TIC 119292328 (label=1) ... ok | 3/5 sec | 5.3 MB | 7.6 s
[691/1963] TIC 424747720 (label=0) ... ok | 2/2 sec | 3.9 MB | 7.7 s
[692/1963] TIC 180987952 (label=0) ... ok | 3/5 sec | 5.6 MB | 8.3 s
[693/1963] TIC 167098530 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.8 s
[694/1963] TIC 9348006 (label=1) ... ok | 2/2 sec | 4.0 MB | 6.6 s
[695/1963] TIC 237751146 (label=0) ... ok | 2/2 sec | 3.5 MB | 4.5 s
[696/1963] TIC 307809773 (label=1) ... ok | 3/5 sec | 5.4 MB | 9.7 s
[697/1963] TIC 54962195 (label=1) ... ok | 3/5 sec | 5.6 MB | 0.5 s
[698/1963] TIC 198390247 (label=1) ... ok | 3/39 sec | 5.7 MB | 0.5 s
[699/1963] TIC 89510024 (label=0) ... ok | 3/7 sec | 5.8 MB | 6.8 s
[700/1963] TIC 147895461 (label=0) ... ok | 2/2 sec | 4.0 MB | 4.1 s
[701/1963] TIC 271722899 (label=0) ... ok | 3/21 sec | 5.5 MB | 5.8 s
[702/1963] TIC 176831592 (label=0) ... ok | 2/2 sec | 3.8 MB | 7.2 s
[703/1963] TIC 180695581 (label=1) ... ok | 3/4 sec | 5.9 MB | 6.2 s
[704/1963] TIC 286201103 (label=1) ... ok | 3/9 sec | 5.7 MB | 6.0 s
[705/1963] TIC 91987762 (label=1) ... ok | 3/5 sec | 5.8 MB | 5.5 s
[706/1963] TIC 158025009 (label=1) ... Warning: 21% (3843/18126) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/4 sec | 5.7 MB | 5.4 s
[707/1963] TIC 37749396 (label=1) ... Warning: 30% (5872/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/3 sec | 5.7 MB | 7.6 s
[708/1963] TIC 287145649 (label=1) ... ok | 2/2 sec | 4.0 MB | 4.1 s
[709/1963] TIC 97766057 (label=1) ... ok | 3/4 sec | 6.2 MB | 9.4 s
[710/1963] TIC 24358417 (label=1) ... ok | 2/2 sec | 6.1 MB | 5.2 s
[711/1963] TIC 15682927 (label=0) ... ok | 2/2 sec | 3.9 MB | 4.0 s
[712/1963] TIC 129539786 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.9 s
[713/1963] TIC 40779013 (label=0) ... ok | 2/2 sec | 3.9 MB | 4.0 s
[714/1963] TIC 188570092 (label=1) ... ok | 3/3 sec | 5.7 MB | 5.5 s
[715/1963] TIC 258514800 (label=1) ... ok | 3/24 sec | 5.5 MB | 5.6 s
[716/1963] TIC 459837008 (label=1) ... ok | 3/12 sec | 5.6 MB | 0.4 s
[717/1963] TIC 382188882 (label=0) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/35 sec | 5.5 MB | 6.1 s
[718/1963] TIC 287474726 (label=0) ... ok | 2/2 sec | 3.7 MB | 4.2 s
[719/1963] TIC 377739433 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.9 s
[720/1963] TIC 139118482 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.3 s
[721/1963] TIC 285542903 (label=0) ... ok | 2/2 sec | 3.4 MB | 4.0 s
[722/1963] TIC 48476907 (label=0) ... ok | 3/5 sec | 5.5 MB | 5.7 s
[723/1963] TIC 296898634 (label=0) ... ok | 3/4 sec | 5.9 MB | 5.8 s
[724/1963] TIC 256349966 (label=0) ... ok | 3/5 sec | 5.2 MB | 8.1 s
[725/1963] TIC 190743990 (label=0) ... ok | 3/3 sec | 5.8 MB | 10.5 s
[726/1963] TIC 459323923 (label=1) ... no_data | 0/0 sec | 0.0 MB | 2.0 s
[727/1963] TIC 377024332 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.1 s
[728/1963] TIC 142387023 (label=1) ... ok | 3/7 sec | 5.9 MB | 5.8 s
[729/1963] TIC 93963408 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.7 s
[730/1963] TIC 324395151 (label=0) ... ok | 2/2 sec | 3.8 MB | 4.0 s
[731/1963] TIC 464300749 (label=1) ... ok | 3/4 sec | 6.0 MB | 5.6 s
[732/1963] TIC 431899140 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.8 s
[733/1963] TIC 468472950 (label=0) ... ok | 3/5 sec | 6.0 MB | 5.6 s
[734/1963] TIC 325172035 (label=0) ... ok | 2/2 sec | 3.8 MB | 4.0 s
[735/1963] TIC 153951307 (label=1) ... ok | 3/8 sec | 5.9 MB | 6.5 s
[736/1963] TIC 328750515 (label=0) ... ok | 3/5 sec | 6.1 MB | 5.6 s
[737/1963] TIC 64836837 (label=0) ... ok | 3/3 sec | 6.0 MB | 6.0 s
[738/1963] TIC 408203470 (label=0) ... ok | 3/4 sec | 5.8 MB | 5.9 s
[739/1963] TIC 264678534 (label=1) ... ok | 3/16 sec | 5.5 MB | 6.2 s
[740/1963] TIC 348844154 (label=0) ... ok | 3/24 sec | 6.1 MB | 7.3 s
[741/1963] TIC 83092282 (label=1) ... ok | 3/8 sec | 5.5 MB | 7.6 s
[742/1963] TIC 120826158 (label=1) ... ok | 3/7 sec | 6.0 MB | 7.7 s
[743/1963] TIC 446549905 (label=0) ... ok | 1/1 sec | 1.8 MB | 4.8 s
[744/1963] TIC 330332501 (label=0) ... ok | 2/2 sec | 4.0 MB | 7.1 s
[745/1963] TIC 82302240 (label=0) ... ok | 2/2 sec | 3.7 MB | 6.5 s
[746/1963] TIC 119585136 (label=1) ... no_data | 0/0 sec | 0.0 MB | 1.8 s
[747/1963] TIC 165464482 (label=1) ... Warning: 24% (4649/19050) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 2/2 sec | 4.0 MB | 6.8 s
[748/1963] TIC 100589632 (label=0) ... ok | 1/1 sec | 2.0 MB | 5.8 s
[749/1963] TIC 148673433 (label=1) ... ok | 3/3 sec | 6.1 MB | 7.1 s
[750/1963] TIC 239638934 (label=0) ... ok | 1/1 sec | 1.8 MB | 2.6 s
[751/1963] TIC 49254857 (label=1) ... ok | 1/1 sec | 2.0 MB | 2.4 s
[752/1963] TIC 268405086 (label=0) ... ok | 3/11 sec | 5.5 MB | 6.8 s
[753/1963] TIC 156678143 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.6 s
[754/1963] TIC 306996324 (label=1) ... ok | 3/6 sec | 5.7 MB | 6.2 s
[755/1963] TIC 298663873 (label=1) ... ok | 3/40 sec | 5.7 MB | 7.3 s
[756/1963] TIC 450327768 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.1 s
[757/1963] TIC 430528566 (label=0) ... ok | 3/5 sec | 6.1 MB | 7.5 s
[758/1963] TIC 376838000 (label=0) ... no_data | 0/0 sec | 0.0 MB | 5.0 s
[759/1963] TIC 79395355 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.3 s
[760/1963] TIC 229536616 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.0 s
[761/1963] TIC 127530399 (label=1) ... ok | 3/3 sec | 6.0 MB | 6.5 s
[762/1963] TIC 336128819 (label=1) ... ok | 3/7 sec | 5.7 MB | 6.6 s
[763/1963] TIC 284441182 (label=1) ... ok | 3/6 sec | 5.6 MB | 6.2 s
[764/1963] TIC 101497191 (label=0) ... ok | 3/3 sec | 5.5 MB | 7.0 s
[765/1963] TIC 270333769 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.9 s
[766/1963] TIC 29374525 (label=0) ... ok | 2/2 sec | 3.8 MB | 4.2 s
[767/1963] TIC 33091633 (label=0) ... ok | 2/2 sec | 3.9 MB | 4.9 s
[768/1963] TIC 274942910 (label=0) ... ok | 3/3 sec | 5.7 MB | 6.2 s
[769/1963] TIC 300038935 (label=1) ... Warning: 30% (5879/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/43 sec | 6.0 MB | 6.2 s
[770/1963] TIC 96291218 (label=0) ... ok | 3/3 sec | 5.5 MB | 6.1 s
[771/1963] TIC 460205581 (label=1) ... ok | 3/7 sec | 5.8 MB | 6.6 s
[772/1963] TIC 172110606 (label=0) ... ok | 3/5 sec | 5.7 MB | 6.0 s
[773/1963] TIC 198385543 (label=1) ... ok | 3/29 sec | 5.7 MB | 5.8 s
[774/1963] TIC 364186197 (label=1) ... ok | 3/18 sec | 5.4 MB | 6.3 s
[775/1963] TIC 54364414 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.9 s
[776/1963] TIC 307809773 (label=1) ... ok | 3/5 sec | 5.4 MB | 1.6 s
[777/1963] TIC 35883621 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.7 s
[778/1963] TIC 339538183 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.7 s
[779/1963] TIC 312469860 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.5 s
[780/1963] TIC 317060587 (label=1) ... ok | 3/6 sec | 6.2 MB | 8.6 s
[781/1963] TIC 368435330 (label=1) ... ok | 2/2 sec | 4.0 MB | 5.3 s
[782/1963] TIC 347018922 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.0 s
[783/1963] TIC 224313733 (label=0) ... ok | 3/5 sec | 5.7 MB | 7.4 s
[784/1963] TIC 178819686 (label=1) ... ok | 3/4 sec | 5.8 MB | 1.5 s
[785/1963] TIC 300011941 (label=0) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/35 sec | 6.0 MB | 8.7 s
[786/1963] TIC 412014494 (label=0) ... ok | 1/1 sec | 1.8 MB | 3.9 s
[787/1963] TIC 289316336 (label=0) ... ok | 2/2 sec | 3.8 MB | 5.9 s
[788/1963] TIC 4897275 (label=1) ... ok | 2/2 sec | 4.0 MB | 6.1 s
[789/1963] TIC 393940766 (label=1) ... ok | 3/3 sec | 5.7 MB | 8.9 s
[790/1963] TIC 274002141 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.5 s
[791/1963] TIC 75650448 (label=1) ... no_data | 0/0 sec | 0.0 MB | 2.3 s
[792/1963] TIC 438295981 (label=0) ... ok | 3/4 sec | 5.5 MB | 9.8 s
[793/1963] TIC 77156829 (label=1) ... ok | 3/5 sec | 5.7 MB | 1.7 s
[794/1963] TIC 190496853 (label=1) ... ok | 3/3 sec | 5.8 MB | 12.2 s
[795/1963] TIC 157568289 (label=0) ... ok | 2/2 sec | 3.8 MB | 6.0 s
[796/1963] TIC 233602827 (label=1) ... ok | 3/37 sec | 5.7 MB | 1.8 s
[797/1963] TIC 322807371 (label=1) ... ok | 3/4 sec | 5.9 MB | 9.2 s
[798/1963] TIC 33690636 (label=0) ... ok | 1/1 sec | 1.9 MB | 4.1 s
[799/1963] TIC 309257814 (label=0) ... ok | 3/16 sec | 5.6 MB | 9.3 s
[800/1963] TIC 88902249 (label=1) ... ok | 1/1 sec | 2.0 MB | 3.9 s
[801/1963] TIC 371210825 (label=0) ... ok | 3/6 sec | 5.6 MB | 8.6 s
[802/1963] TIC 207468071 (label=1) ... ok | 3/13 sec | 5.9 MB | 1.4 s
[803/1963] TIC 237222864 (label=1) ... ok | 3/39 sec | 5.7 MB | 8.5 s
[804/1963] TIC 439366538 (label=1) ... ok | 2/2 sec | 3.8 MB | 5.7 s
[805/1963] TIC 256722647 (label=1) ... ok | 3/8 sec | 5.9 MB | 8.9 s
[806/1963] TIC 219821826 (label=0) ... ok | 3/27 sec | 5.6 MB | 8.9 s
[807/1963] TIC 175310067 (label=0) ... ok | 1/1 sec | 1.9 MB | 4.0 s
[808/1963] TIC 55383975 (label=0) ... ok | 3/39 sec | 5.9 MB | 9.4 s
