Total seleccionados:    1,968
En estado terminal:     5
Por descargar/reintentar: 1,963 (modo: reintenta error/download_failed)

[1/1963] TIC 427348923 (label=0) ... WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
error | 0/2 sec | 0.0 MB | 1.6 s
[89/1963] TIC 132534906 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.7 s
[90/1963] TIC 54464870 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.2 s
[91/1963] TIC 179034327 (label=1) ... ok | 3/4 sec | 5.7 MB | 8.4 s
[92/1963] TIC 142381532 (label=1) ... ok | 3/9 sec | 5.9 MB | 6.3 s
[93/1963] TIC 54962195 (label=1) ... ok | 3/5 sec | 5.6 MB | 8.7 s
[94/1963] TIC 195199644 (label=0) ... ok | 3/4 sec | 6.0 MB | 5.9 s
[95/1963] TIC 88992642 (label=1) ... ok | 3/6 sec | 5.7 MB | 6.0 s
[96/1963] TIC 392476080 (label=1) ... Warning: 23% (3838/16779) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 2/2 sec | 3.8 MB | 5.1 s
[97/1963] TIC 20182165 (label=0) ... Warning: 20% (3714/18126) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/5 sec | 5.8 MB | 6.1 s
[98/1963] TIC 131581531 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.0 s
[99/1963] TIC 272828463 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.8 s
[100/1963] TIC 445903569 (label=1) ... ok | 3/6 sec | 5.7 MB | 10.2 s
[101/1963] TIC 379723086 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.0 s
[102/1963] TIC 232608943 (label=1) ... ok | 3/26 sec | 6.0 MB | 0.8 s
[103/1963] TIC 9033144 (label=0) ... ok | 3/4 sec | 5.8 MB | 7.9 s
[104/1963] TIC 155986102 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.2 s
[105/1963] TIC 92013169 (label=0) ... ok | 3/6 sec | 5.5 MB | 7.7 s
[106/1963] TIC 305424003 (label=1) ... ok | 3/5 sec | 6.0 MB | 9.1 s
[107/1963] TIC 364075352 (label=0) ... ok | 3/3 sec | 5.7 MB | 6.7 s
[108/1963] TIC 387664868 (label=0) ... ok | 2/2 sec | 0.0 MB | 9.4 s
[109/1963] TIC 287190564 (label=0) ... ok | 2/2 sec | 4.0 MB | 5.0 s
[110/1963] TIC 345724317 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.4 s
[111/1963] TIC 146208651 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.6 s
[112/1963] TIC 124702477 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.3 s
[113/1963] TIC 158297421 (label=1) ... ok | 3/4 sec | 5.9 MB | 7.1 s
[114/1963] TIC 60074373 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.1 s
[115/1963] TIC 261258875 (label=0) ... ok | 3/7 sec | 5.6 MB | 7.9 s
[116/1963] TIC 360286627 (label=0) ... ok | 3/5 sec | 5.6 MB | 7.0 s
[117/1963] TIC 238374636 (label=0) ... ok | 3/5 sec | 5.5 MB | 6.9 s
[118/1963] TIC 99330090 (label=0) ... ok | 2/2 sec | 4.0 MB | 6.6 s
[119/1963] TIC 298495970 (label=0) ... ok | 2/2 sec | 3.8 MB | 5.5 s
[120/1963] TIC 248250955 (label=1) ... ok | 3/3 sec | 6.2 MB | 7.4 s
[121/1963] TIC 154927364 (label=0) ... ok | 3/4 sec | 6.0 MB | 7.8 s
[122/1963] TIC 271042173 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.0 s
[123/1963] TIC 31656385 (label=0) ... ok | 3/4 sec | 5.8 MB | 8.8 s
[124/1963] TIC 316254876 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.2 s
[125/1963] TIC 151959065 (label=0) ... ok | 3/5 sec | 5.6 MB | 7.6 s
[126/1963] TIC 440887364 (label=1) ... ok | 3/3 sec | 5.9 MB | 8.8 s
[127/1963] TIC 34505005 (label=0) ... ok | 2/2 sec | 3.8 MB | 5.3 s
[128/1963] TIC 142532090 (label=1) ... ok | 1/1 sec | 2.0 MB | 3.0 s
[129/1963] TIC 107728509 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.1 s
[130/1963] TIC 77102895 (label=0) ... no_data | 0/0 sec | 0.0 MB | 5.9 s
[131/1963] TIC 106997505 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.8 s
[132/1963] TIC 66561343 (label=1) ... ok | 2/2 sec | 6.1 MB | 5.5 s
[133/1963] TIC 377304435 (label=0) ... ok | 3/3 sec | 5.9 MB | 7.4 s
[134/1963] TIC 29830212 (label=0) ... no_data | 0/0 sec | 0.0 MB | 27.8 s
[135/1963] TIC 417646390 (label=1) ... ok | 3/5 sec | 5.5 MB | 8.8 s
[136/1963] TIC 464296022 (label=0) ... ok | 3/3 sec | 5.7 MB | 7.5 s
[137/1963] TIC 354006740 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.4 s
[138/1963] TIC 52041724 (label=0) ... ok | 2/2 sec | 3.8 MB | 5.3 s
[139/1963] TIC 144956678 (label=0) ... ok | 2/2 sec | 3.7 MB | 5.0 s
[140/1963] TIC 79748331 (label=1) ... ok | 3/4 sec | 5.9 MB | 7.0 s
[141/1963] TIC 61733521 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.5 s
[142/1963] TIC 73104318 (label=0) ... no_data | 0/0 sec | 0.0 MB | 5.5 s
[143/1963] TIC 162577466 (label=0) ... ok | 3/6 sec | 5.5 MB | 6.8 s
